"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
381, 6.221480636490326e-01, -1.207712613316239e-01, 1.198044823736266e+00, 4.914625793353073e+01, 8.758341685141056e+00, 2.526528815230721e+05, 1.006451309097784e+05, 2.926510234880622e+02, 1.215017663685885e-01, -1.460967673614103e+00
382, 6.057801339927668e-01, -1.235823405407193e-01, 1.197898479439977e+00, 4.967204216306214e+01, 8.196820521765233e+00, 2.526279613625038e+05, 1.006280268763316e+05, 2.926370355865769e+02, 1.225498019330407e-01, -1.497722455253020e+00
383, 5.893771413428085e-01, -1.261818361259613e-01, 1.197742767948756e+00, 5.017204335277725e+01, 7.609209163263841e+00, 2.525996669945500e+05, 1.006098689606895e+05, 2.926222675856800e+02, 1.235474619888711e-01, -1.536741919668888e+00
384, 5.729414083984778e-01, -1.285649722956654e-01, 1.197588995988094e+00, 5.064666712860386e+01, 6.994096911890744e+00, 2.525717483447627e+05, 1.005921551993725e+05, 2.926083138399904e+02, 1.244953150197800e-01, -1.574806942824812e+00
385, 5.564750953893864e-01, -1.307268793810253e-01, 1.197446281222896e+00, 5.109605440058807e+01, 6.349657338080225e+00, 2.525459521937888e+05, 1.005755844088653e+05, 2.925949798361812e+02, 1.253940057510930e-01, -1.610415841075066e+00
386, 5.399806707876322e-01, -1.326625392929401e-01, 1.197315702107863e+00, 5.152601914387026e+01, 5.679048253245327e+00, 2.525228824270960e+05, 1.005602851854838e+05, 2.925823767823348e+02, 1.262603401672853e-01, -1.643292274366884e+00
387, 5.234607423098473e-01, -1.343668105731222e-01, 1.197178354252404e+00, 5.193347727958250e+01, 4.982198829963170e+00, 2.524973427386413e+05, 1.005442164838013e+05, 2.925691860717879e+02, 1.270909884643655e-01, -1.677822236167915e+00
388, 5.069181145008876e-01, -1.358344270155661e-01, 1.197059180869097e+00, 5.231096408075266e+01, 4.254670465048700e+00, 2.524765013629891e+05, 1.005303828336829e+05, 2.925580548988474e+02, 1.278656764048482e-01, -1.707549305572426e+00
389, 4.903558050279759e-01, -1.370600112490720e-01, 1.196946362493946e+00, 5.266410715455125e+01, 3.500572958598588e+00, 2.524562116144265e+05, 1.005170064454575e+05, 2.925466990992439e+02, 1.286029362654209e-01, -1.736293766922551e+00
390, 4.737770452900655e-01, -1.380380826154941e-01, 1.196842952482551e+00, 5.298522994337058e+01, 2.718962951085606e+00, 2.524380206001182e+05, 1.005048328502198e+05, 2.925365424781543e+02, 1.292854963601622e-01, -1.762453551754420e+00
391, 4.571852933572234e-01, -1.387630606870416e-01, 1.196732673738207e+00, 5.327675904439722e+01, 1.912543072300130e+00, 2.524172735892615e+05, 1.004919377168494e+05, 2.925259627240122e+02, 1.299239601791529e-01, -1.790163846680466e+00
392, 4.405842668151232e-01, -1.392292787027834e-01, 1.196650705610279e+00, 5.353392918610219e+01, 1.075410269121787e+00, 2.524026295111800e+05, 1.004818747032664e+05, 2.925167053232625e+02, 1.305043980182097e-01, -1.811788211952027e+00
393, 4.239779268404772e-01, -1.394309944874062e-01, 1.196565419886952e+00, 5.376439674090554e+01, 2.154340654667048e-01, 2.523874594402502e+05, 1.004718247743928e+05, 2.925082957540086e+02, 1.310520675349486e-01, -1.833384459549767e+00
394, 4.073705104942247e-01, -1.393623931138296e-01, 1.196495981637312e+00, 5.394661967623806e+01, -6.704989858193851e-01, 2.523745847341041e+05, 1.004632986460431e+05, 2.925004474219456e+02, 1.315147372907330e-01, -1.851706218957755e+00
395, 3.907665383483014e-01, -1.390175995414689e-01, 1.196425568884177e+00, 5.407872310359425e+01, -1.587295341336942e+00, 2.523585853875585e+05, 1.004541387278543e+05, 2.924909910202192e+02, 1.318932729852333e-01, -1.871389926540970e+00
396, 3.741708395198964e-01, -1.383906834888395e-01, 1.196415400409085e+00, 5.414839247613475e+01, -2.518722462041342e+00, 2.523582067158228e+05, 1.004520833303887e+05, 2.924874922109656e+02, 1.321509850041974e-01, -1.875806761041682e+00
397, 3.575885047333230e-01, -1.374756593469053e-01, 1.196349258134827e+00, 5.420488628190094e+01, -3.495304521577493e+00, 2.523425812836838e+05, 1.004438008203921e+05, 2.924795452833276e+02, 1.324295498029356e-01, -1.893605010050875e+00
398, 3.410250859771272e-01, -1.362664969312357e-01, 1.196325573997130e+00, 5.421885160781071e+01, -4.460150046531608e+00, 2.523491433889061e+05, 1.004448795337996e+05, 2.924884767564456e+02, 1.326362379994065e-01, -1.891286967592343e+00
399, 3.244863141892013e-01, -1.347570994502810e-01, 1.196311061011899e+00, 5.419910329111199e+01, -5.475918246742492e+00, 2.523425566324855e+05, 1.004409094638884e+05, 2.924804643584820e+02, 1.328177297308888e-01, -1.899818233222167e+00
400, 3.079783737238112e-01, -1.329413037221316e-01, 1.196294233615844e+00, 5.413387716614109e+01, -6.482924854607273e+00, 2.523476254077218e+05, 1.004420980106529e+05, 2.924880395231348e+02, 1.329291980000601e-01, -1.897264170349601e+00
401, 2.915078415402935e-01, -1.308128574205421e-01, 1.196301346028027e+00, 5.401264421652384e+01, -7.523065552079413e+00, 2.523489380627191e+05, 1.004423823964687e+05, 2.924871287121886e+02, 1.329611949815660e-01, -1.896653054931075e+00
402, 2.750816949760262e-01, -1.283653836949495e-01, 1.196247756797900e+00, 5.381396264940779e+01, -8.587904287530671e+00, 2.523311716840200e+05, 1.004359670652734e+05, 2.924815492711016e+02, 1.328729818757766e-01, -1.910438931692580e+00
403, 2.587073817483432e-01, -1.255923314659664e-01, 1.196252639367235e+00, 5.354172325028246e+01, -9.626399510509735e+00, 2.523424354470978e+05, 1.004421984769922e+05, 2.924985020341643e+02, 1.326377240367622e-01, -1.897048278678654e+00
404, 2.423928613605758e-01, -1.224869070064644e-01, 1.196275148591518e+00, 5.322216058701159e+01, -1.071324930528435e+01, 2.523427907531209e+05, 1.004443580772399e+05, 2.924992872254171e+02, 1.323656056572745e-01, -1.892407523281381e+00
405, 2.261466393418575e-01, -1.190419673578821e-01, 1.196323397887345e+00, 5.285062619426462e+01, -1.179943117984098e+01, 2.523550336766314e+05, 1.004517755850654e+05, 2.925090896487524e+02, 1.320217881536272e-01, -1.876468073602580e+00
406, 2.099779525399313e-01, -1.152499017634175e-01, 1.196367669289818e+00, 5.240408245766129e+01, -1.290032005009178e+01, 2.523625708822435e+05, 1.004581201573001e+05, 2.925167396960148e+02, 1.315685241539090e-01, -1.862834250457568e+00
407, 1.938967865991685e-01, -1.111024204755714e-01, 1.196414156769766e+00, 5.188188911355776e+01, -1.400854257008166e+01, 2.523692979857997e+05, 1.004649482965353e+05, 2.925252553531776e+02, 1.310039054505557e-01, -1.848161292329165e+00
408, 1.779141169411970e-01, -1.065903038908164e-01, 1.196478162877705e+00, 5.127144007223613e+01, -1.512218895695986e+01, 2.523800500785296e+05, 1.004743780226252e+05, 2.925370617924849e+02, 1.303000490509860e-01, -1.827897795743560e+00
409, 1.620421658744576e-01, -1.017030294008015e-01, 1.196572755786834e+00, 5.057888984021493e+01, -1.624708874115867e+01, 2.523953071422637e+05, 1.004864102967819e+05, 2.925489657052481e+02, 1.294809980707578e-01, -1.802041695156319e+00
410, 1.462947919221997e-01, -9.642827220764635e-02, 1.196664210690572e+00, 4.980528047549088e+01, -1.738607328871053e+01, 2.524102150952022e+05, 1.004989862243183e+05, 2.925632175493868e+02, 1.285621795999044e-01, -1.775017340231756e+00
411, 1.306880359250884e-01, -9.075114875876227e-02, 1.196746998937350e+00, 4.894107848536501e+01, -1.853839181625252e+01, 2.524229076221078e+05, 1.005114387116398e+05, 2.925792266934273e+02, 1.275308463392487e-01, -1.748258245437718e+00
412, 1.152409219700882e-01, -8.465309281610736e-02, 1.196820474261105e+00, 4.795461916322316e+01, -1.971457816062247e+01, 2.524326820083429e+05, 1.005238308077403e+05, 2.925973346370519e+02, 1.263358605532369e-01, -1.721628925070553e+00
413, 8.539839206730440e-02, -7.132026513611016e-02, 1.197042271687790e+00, 4.559521519072963e+01, -2.204012515173256e+01, 2.524659012605901e+05, 1.005578558765127e+05, 2.926421392008739e+02, 1.233646526559889e-01, -1.648512605643828e+00
414, 7.275414598963645e-02, -6.493908340608300e-02, 1.197135600803740e+00, 4.436331880977527e+01, -2.318462519204591e+01, 2.524807731921423e+05, 1.005737049183480e+05, 2.926654447915691e+02, 1.219215942367984e-01, -1.614454669914671e+00
415, 6.176221598791513e-02, -5.895673614924097e-02, 1.197208333458762e+00, 4.312733861419371e+01, -2.427623420944150e+01, 2.524868069064542e+05, 1.005855537291088e+05, 2.926821422851369e+02, 1.205326091882625e-01, -1.588992813005311e+00
416, 5.218828967626923e-02, -5.335409427185064e-02, 1.197274899959344e+00, 4.188352784327201e+01, -2.533543766828647e+01, 2.524966124898220e+05, 1.005983836513498e+05, 2.927031998580283e+02, 1.192057783771966e-01, -1.561422649986018e+00
417, 4.383678499631340e-02, -4.810648623467282e-02, 1.197362663199153e+00, 4.059716818093844e+01, -2.635093287797925e+01, 2.525094327698771e+05, 1.006124962125126e+05, 2.927228047540621e+02, 1.178520453682022e-01, -1.531096229874880e+00
418, 3.654386699990666e-02, -4.318608563164637e-02, 1.197324755004909e+00, 3.916499570137859e+01, -2.731933553889569e+01, 2.524912137005873e+05, 1.006155958388833e+05, 2.927410909396426e+02, 1.162754190923905e-01, -1.524435456509715e+00
419, 3.017198715172969e-02, -3.856339004106438e-02, 1.197343647405164e+00, 3.768268275841765e+01, -2.828758920008478e+01, 2.524907797700362e+05, 1.006254622714150e+05, 2.927651778305463e+02, 1.147270875994341e-01, -1.503233523387561e+00
420, 2.460565382988334e-02, -3.420810993093080e-02, 1.197281417053576e+00, 3.603839964158514e+01, -2.928609912854609e+01, 2.524593987961719e+05, 1.006235364631071e+05, 2.927747913617421e+02, 1.130724881066578e-01, -1.507371884321819e+00
421, 1.974821166302445e-02, -3.008957954143453e-02, 1.197321604097292e+00, 3.430310518005164e+01, -3.026371000949914e+01, 2.524712052732529e+05, 1.006389360622956e+05, 2.928097698880916e+02, 1.113756273837778e-01, -1.474279753903629e+00
422, 1.551948580239776e-02, -2.617685582216563e-02, 1.197261145448886e+00, 3.229442832895363e+01, -3.128637219345401e+01, 2.524386920805206e+05, 1.006377448020983e+05, 2.928210898822624e+02, 1.094779512668548e-01, -1.476839647659872e+00
423, 1.185427376822455e-02, -2.243852798982687e-02, 1.197296581226459e+00, 3.009736679893842e+01, -3.231825069324443e+01, 2.524504359902250e+05, 1.006543869768854e+05, 2.928608449548781e+02, 1.075156747717762e-01, -1.441077352046881e+00
424, 8.701753574609953e-03, -1.884231275842020e-02, 1.197289020171441e+00, 2.749364082423055e+01, -3.339196999386811e+01, 2.524295851321363e+05, 1.006593073505591e+05, 2.928770106690906e+02, 1.053022328649544e-01, -1.430503982875104e+00
425, 6.026057970900936e-03, -1.535450435385628e-02, 1.197374930910644e+00, 2.444338548394052e+01, -3.442353559241268e+01, 2.524454348574780e+05, 1.006804461635657e+05, 2.929174977689391e+02, 1.027680456887071e-01, -1.385078881329191e+00
426, 3.808516097074179e-03, -1.193949271948463e-02, 1.197532622501819e+00, 2.066603251873839e+01, -3.526763890581009e+01, 2.524665470101378e+05, 1.007075631486750e+05, 2.929578094489188e+02, 9.947990339752255e-02, -1.326807312257460e+00
427, 2.052388458332981e-03, -8.559994991485551e-03, 1.197884713113097e+00, 1.599329171605575e+01, -3.558416227702011e+01, 2.525287773083276e+05, 1.007573933161505e+05, 2.930166143582692e+02, 9.490736181574182e-02, -1.219727486303501e+00
428, 7.909758623573133e-04, -5.179799885187545e-03, 1.198390312382398e+00, 1.016777939076085e+01, -3.483204469693165e+01, 2.526271962081873e+05, 1.008311412137219e+05, 2.931073697735723e+02, 8.822171679077664e-02, -1.061250956191224e+00
429, 9.804130301044478e-05, -1.773217001668898e-03, 1.199559333677638e+00, 3.514220018775779e+00, -3.230197469646851e+01, 2.528841730683896e+05, 1.009776433681939e+05, 2.932471782585407e+02, 7.890356126517752e-02, -7.464331259990149e-01
430, 9.074169343345840e-05, 1.653119487520701e-03, 1.200578910110665e+00, -2.669454634929949e+00, -2.701436565305998e+01, 2.530747424629396e+05, 1.011071392166561e+05, 2.933738887710691e+02, 6.584981599849379e-02, -4.681600713895694e-01
431, 9.020325722798349e-04, 5.032846234059434e-03, 1.201378554094839e+00, -6.527602836555970e+00, -1.993397005869434e+01, 2.531958142486740e+05, 1.012050810490481e+05, 2.934626177755601e+02, 5.084026213188426e-02, -2.576933020110436e-01
432, 2.610466518225473e-03, 8.248519802069672e-03, 1.202895864678096e+00, -7.386864219978518e+00, -1.300733093294007e+01, 2.535285194619664e+05, 1.013742048268957e+05, 2.935822361566871e+02, 3.620311912487083e-02, 1.057360343547071e-01
433, 5.200836973985120e-03, 1.120081483043218e-02, 1.205648158022073e+00, -5.826408811189443e+00, -6.244105416699333e+00, 2.542289083394347e+05, 1.016794643014735e+05, 2.937940579240206e+02, 2.061482790267114e-02, 7.617067658337573e-01
434, 8.617911685361041e-03, 1.385671554665020e-02, 1.205483372865686e+00, -1.175795874771814e+00, -1.341987019584994e+00, 2.541935908599436e+05, 1.016769081865309e+05, 2.938268318107025e+02, 4.307165128951262e-03, 7.562139417667714e-01
435, 1.283117175302612e-02, 1.623001592454574e-02, 1.205829341622284e+00, 3.698032924926800e+00, 1.248495339447776e+00, 2.542064871011649e+05, 1.016800680835526e+05, 2.937516577948095e+02, 9.420735302997725e-03, 7.630042304663870e-01
436, 1.785453830560899e-02, 1.834658994564347e-02, 1.205943770115604e+00, 7.654127421541404e+00, 2.572119253955901e+00, 2.541712280447110e+05, 1.016576778672693e+05, 2.936591058115325e+02, 1.949086144696381e-02, 7.148899939676193e-01
